timestamp,open,high,low,close,volume
2026-03-01 00:00:00,62000,62200,61850,62150,1200
2026-03-01 00:15:00,62150,62450,62100,62400,1350
2026-03-01 00:30:00,62400,62520,62280,62340,980
2026-03-01 00:45:00,62340,62640,62320,62600,1560
2026-03-01 01:00:00,62600,62780,62520,62720,1440
2026-03-01 01:15:00,62720,62950,62680,62900,1700
2026-03-01 01:30:00,62900,62920,62620,62680,1620
2026-03-01 01:45:00,62680,62840,62590,62710,1100
2026-03-01 02:00:00,62710,63120,62690,63090,2100
2026-03-01 02:15:00,63090,63300,63010,63280,2050
2026-03-01 02:30:00,63280,63420,63150,63200,1500
2026-03-01 02:45:00,63200,63510,63180,63480,1880
2026-03-01 03:00:00,63480,63820,63410,63750,2200
2026-03-01 03:15:00,63750,63900,63620,63820,1650
2026-03-01 03:30:00,63820,64050,63780,64020,1750
2026-03-01 03:45:00,64020,64100,63890,63940,1420
2026-03-01 04:00:00,63940,64220,63910,64190,1820
2026-03-01 04:15:00,64190,64540,64120,64490,2300
2026-03-01 04:30:00,64490,64620,64310,64380,1600
2026-03-01 04:45:00,64380,64750,64320,64710,2400
2026-03-01 05:00:00,64710,64840,64590,64650,1750
2026-03-01 05:15:00,64650,64980,64610,64910,1850
2026-03-01 05:30:00,64910,65150,64840,65120,2100
2026-03-01 05:45:00,65120,65200,64990,65040,1390
2026-03-01 06:00:00,65040,65350,64980,65290,1900
2026-03-01 06:15:00,65290,65480,65120,65180,1680
2026-03-01 06:30:00,65180,65550,65150,65510,2210
2026-03-01 06:45:00,65510,65680,65390,65420,1720
2026-03-01 07:00:00,65420,65720,65380,65690,1980
2026-03-01 07:15:00,65690,65940,65610,65880,2140
